coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Adrenaline Peak,"1,050 ft ",45 mph ,Oaks Amusement Park,Operating,2018,Steel Euro-Fighter,Gerstlauer,320,72 ft,3,Chain lift hill,"$5,000,000 ",3 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,South End,,,,,97Â°,70Â ft (21Â m),45 mph ,72 km/h,45,mph,45,72,ft,,3,
Hydrus (roller coaster),"1,050 ft ",45 mph ,Casino Pier,Operating,2017,Steel Euro-Fighter,Gerstlauer,320,72 ft,3,,,2 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,,,Werner Stengel,97Â°,70Â ft (21Â m),45 mph ,72 km/h,45,mph,45,72,ft,,3,
TMNT Shellraiser,"3,280.8 ft",62.1 mph,Nickelodeon Universe,Operating,2019,Steel Launched Euro-Fighter,Gerstlauer,1000,141 ft,7,"Linear motor launch, chain lift hill",,6 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,,,,121.5Â°,138Â ft (42Â m),62.1 mph ,99.9 km/h,62.1,mph,62.1,141,ft,,7,
Fairly Odd Coaster (Carowinds),"1,356 ft ",36 mph,Carowinds,Operating,1975,Wood,Philadelphia Toboggan Coasters,144a,40 ft,0,Chain Lift,,,Camp Snoopy,1:00,1250 riders per hour,,John C. Allen,,35Â ft (11Â m),36 mph ,58 km/h,36,mph,36,40,ft,,0,
Woodstock Express (Carowinds),"1,356 ft ",36 mph,Carowinds,Operating,1975,Wood,Philadelphia Toboggan Coasters,144a,40 ft,0,Chain Lift,,,Camp Snoopy,1:00,1250 riders per hour,,John C. Allen,,35Â ft (11Â m),36 mph ,58 km/h,36,mph,36,40,ft,,0,
Batman: The Ride (S&S Free Spin),"1,019 ft",38 mph,Six Flags Discovery Kingdom,Operating,2019,Steel 4th Dimension Wing Coaster,S&S Sansei Technologies,4D Free Spin,120 ft,6,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,,Alan Schilke,,54Â ft (16Â m),38 mph ,61 km/h,38,mph,38,120,ft,,6,
Batman: The Ride (S&S Free Spin),"1,019 ft",38 mph,Six Flags Fiesta Texas,Operating,2015,Steel 4th Dimension Wing Coaster,S&S Sansei Technologies,4D Free Spin,120 ft,6,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,,Alan Schilke,,54Â ft (16Â m),38 mph ,61 km/h,38,mph,38,120,ft,,6,
Dragon Slayer (roller coaster),770 ft,34 mph,Adventureland (Iowa),Operating,2021,Dragon's Run,S&S Sansei Technologies,4D Free Spin,112 ft,,Chain lift hill,"$7,000,000[1]",2 cars. Riders are arranged 4 across in a single row for a total of 8 riders per train.,Dragon Island,,,,Alan Schilke,,,34 mph ,55 km/h,34,mph,34,112,ft,,0,
The Joker (Six Flags Great Adventure),"1,019 ft",38 mph,Six Flags Great Adventure,Operating,2016,Steel 4th Dimension Wing Coaster,S&S Sansei Technologies,4D Free Spin,120 ft,6,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,,Alan Schilke,,54Â ft (16Â m),38 mph ,61 km/h,38,mph,38,120,ft,,6,
The Joker (Six Flags Great America),"1,019 ft",38 mph,Six Flags Great America,Operating,2017,Steel 4th Dimension Wing Coaster,S&S Sansei Technologies,4D Free Spin,120 ft,6,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,,Alan Schilke,,54Â ft (16Â m),38 mph ,61 km/h,38,mph,38,120,ft,,6,
The Joker (Six Flags New England),"1,019 ft",38 mph,Six Flags New England,Operating,2017,Steel 4th Dimension Wing Coaster,S&S Sansei Technologies,4D Free Spin,120 ft,6,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,,Alan Schilke,,54Â ft (16Â m),38 mph ,61 km/h,38,mph,38,120,ft,,6,
The Joker (Six Flags Over Texas),"1,019 ft",38 mph,Six Flags Over Texas,Operating,2017,Steel 4th Dimension Wing Coaster,S&S Sansei Technologies,4D Free Spin,120 ft,6,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,720 riders per hour,,Alan Schilke,,54Â ft (16Â m),38 mph ,61 km/h,38,mph,38,120,ft,,6,
Tumbili,770 ft,34 mph,Kings Dominion,Operating,2022,Steel 4th Dimension Wing Coaster,S&S Sansei Technologies,4D Free Spin,112 ft,0,Vertical chain lift hill,,Single car trains with riders arranged 4 across in 2 rows for a total of 8 riders per train,Jungle X-Pedition,0:55,,,,,,34 mph ,55 km/h,34,mph,34,112,ft,,0,
Wonder Woman Coaster,"1,019 ft",38 mph,Six Flags Mexico,Operating,2018,Steel 4th Dimension Wing Coaster,S&S Sansei Technologies,4D Free Spin,110 ft,6,Chain lift hill,,5 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,DC Universe,,720 riders per hour,,,,54Â ft (16Â m),38 mph ,61 km/h,38,mph,38,110,ft,,6,
Dinoconda,"3,444.9 ft",78.3 mph,China Dinosaurs Park,Operating,2012,Steel 4th Dimension,S&S Sansei Technologies,4th Dimension Coaster,226.4 ft ,3,,,6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,,,,,,,,78.3 mph ,126.0 km/h,78.3,mph,78.3,226.4,ft,,3,
Eejanaika (roller coaster),"3,782.83 ft",78.3 mph,Fuji-Q Highland,Operating,2006,Steel 4th Dimension,S&S Arrow,4th Dimension Coaster,249.33 ft,3,Chain lift hill,"3,500,000,000 Yen ($31,601,283 USD)",5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,,,1000 riders per hour,,Alan Schilke,89Â°,,78.3 mph ,126.0 km/h,78.3,mph,78.3,249.33,ft,,3,
X2 (roller coaster),"3,610 ft ",76 mph,Six Flags Magic Mountain,Operating,2002,Steel 4th Dimension,Arrow Dynamics,4th Dimension Coaster,175 ft+J271,2,Chain Lift,"$45,000,000 USD to build (2002)$10,000,000 USD to renovate (2008)[1]",3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Baja Ridge,,1600[2] riders per hour,4Gs,Alan SchilkeRenato Manzoni,88.5Â°,215Â ft (66Â m),76 mph ,122 km/h,76,mph,76,175,ft,,2,4
Kingda Ka,"3,118 ft ",128 mph,Six Flags Great Adventure,Operating,2005,Steel Launched,Intamin,Accelerator Coaster,456 ft ,0,Hydraulic launch,$25 million,"4 trains containing 5 cars each. Riders are seated 2 across in 2 rows, with only 1 row in the last car, for a total of 18 riders per train.",The Golden Kingdom,0:28,1400 riders per hour,,Werner Stengel,90Â°,418Â ft (127Â m),128 mph ,206 km/h,128,mph,128,456,ft,,0,
Speed Monster,"2,264 ft",55.9 mph,TusenFryd,Operating,2006,Steel Launched,Intamin,Accelerator coaster,131 ft,3,Hydraulic launch,â‚¬7.5 million,,,1:09,700 riders per hour,4,Stengel Engineering,,,55.9 mph ,90.0 km/h,55.9,mph,55.9,131,ft,,3,4
Storm Runner,"2,600 ft ",75 mph,Hersheypark,Operating,2004,Steel Launched,Intamin,Accelerator Coaster,150 ft,3,Hydraulic Launch,"$12,500,000 ",2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Pioneer Frontier,0:50,1200 riders per hour,5,Werner Stengel,90Â°,180Â ft (55Â m),75 mph ,121 km/h,75,mph,75,150,ft,,3,5
Top Thrill Dragster,"2,800 ft",120 mph,Cedar Point,Opening in 2024,2003,Steel Launched,Intamin,Accelerator Coaster,420 ft ,0,Hydraulic Launch,$25 million,"6 trains, with 5 cars. Riders are arranged 2 across in 2 rows (except for the first car), for a total of 18 riders per train.",Gemini Midway,0:30,"1,000 riders per hour",,Werner Stengel,90Â°,400Â ft (120Â m),120 mph ,190 km/h,120,mph,120,420,ft,,0,
Xcelerator,"2,202 ft",82 mph,Knott's Berry Farm,Operating,2002,Steel Launched,Intamin,Accelerator Coaster,205 ft,0,Hydraulic catch car launch,"$13,000,000 ",2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,The Boardwalk,1:02 (25 seconds from launch to brakes),"1,330 riders per hour",,Werner Stengel,90Â°,,82 mph ,132 km/h,82,mph,82,205,ft,,0,
Nickelodeon Slime Streak,"1,263 ft",37 mph,Nickelodeon Universe,Operating,2019,Steel Family Indoor,Chance Rides,Big Dipper,70 ft,0,Drive tire,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,1:10,550 riders per hour,2.5,Joe Draves,,,37 mph ,60 km/h,37,mph,37,70,ft,,0,2.5
Woodstock Express (Michigan's Adventure),350 ft,15 mph,Michigan's Adventure,Operating,1999,Steel Family,Chance Rides,Big Dipper,16.1 ft,0,friction drive,,Single train with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Camp Snoopy,45 seconds,300 riders per hour,,Chance Rides,,,15 mph ,24 km/h,15,mph,15,16.1,ft,,0,
ISpeed,,74.6 mph,Mirabilandia,Operating,2009,Steel Launched,Intamin,Blitz Coaster,180 ft ,2,Linear synchronous motor Launch,"â‚¬15,000,000",,,approx. 1 minute,,,Werner Stengel,90Â°,180.5Â ft (55.0Â m),74.6 mph ,120.1 km/h,74.6,mph,74.6,180,ft,,2,
Maverick (roller coaster),"4,450 ft",70 mph,Cedar Point,Operating,2007,Steel Launched,Intamin,Blitz Coaster,105 ft,2,Two LSM-launches Launch - 0-70 in 3 seconds,"US$21,000,000",6 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,Frontier Town,2:30,"1,200 riders per hour",,Werner Stengel,95Â°,100Â ft (30Â m),70 mph ,110 km/h,70,mph,70,105,ft,,2,
Pantheon (roller coaster),"3,328 ft",73 mph,Busch Gardens Williamsburg,Operating,2022,Steel Launched,Intamin,Blitz Coaster,178 ft,2,LSM,,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,,,,95Â°,,73 mph ,117 km/h,73,mph,73,178,ft,,2,
